"Peter Thomas Roth","Professional 3% Retinoid Plus",4.584,$82.00,https://www.sephora.com/product/professional-3-retinoid-plus-P394358,https://www.sephora.com/productimages/sku/s1699313-main-grid.jpg,https://www.sephora.com/productimages/sku/s1699313-main-hero.jpg,https://www.sephora.com/productimages/sku/s1699313-main-Lhero.jpg,2018/03/10
BECCA,"Ever-Matte Poreless Priming Perfector",3.6007,"$15.00 - $38.00",https://www.sephora.com/product/ever-matte-poreless-priming-perfector-P378017,https://www.sephora.com/productimages/sku/s1495209-main-grid.jpg,https://www.sephora.com/productimages/sku/s1495209-main-hero.jpg,https://www.sephora.com/productimages/sku/s1495209-main-Lhero.jpg,2018/03/10
REN,"Keep Young And Beautiful™ Instant Firming Beauty Shot",4.0833,$56.00,https://www.sephora.com/product/keep-young-beautiful-tm-instant-firming-beauty-shot-P391761,https://www.sephora.com/productimages/sku/s1671270-main-grid.jpg,https://www.sephora.com/productimages/sku/s1671270-main-hero.jpg,https://www.sephora.com/productimages/sku/s1671270-main-Lhero.jpg,2018/03/10
Caudalie,"Vinoperfect Concentrated Brightening Essence",4.3679,$42.00,https://www.sephora.com/product/vinoperfect-concentrated-brightening-essence-P420224,https://www.sephora.com/productimages/sku/s1943026-main-grid.jpg,https://www.sephora.com/productimages/sku/s1943026-main-hero.jpg,https://www.sephora.com/productimages/sku/s1943026-main-Lhero.jpg,2018/03/10
"SUNDAY RILEY","C.E.O. Rapid Flash Brightening Serum",3.932,$85.00,https://www.sephora.com/product/c-e-o-rapid-flash-brightening-serum-P418346,https://www.sephora.com/productimages/sku/s1933225-main-grid.jpg,https://www.sephora.com/productimages/sku/s1933225-main-hero.jpg,https://www.sephora.com/productimages/sku/s1933225-main-Lhero.jpg,2018/03/10
"Dr. Brandt Skincare","2% Retinol Complex Serum",4.3243,$69.00,https://www.sephora.com/product/2-retinol-complex-serum-P417626,https://www.sephora.com/productimages/sku/s1928787-main-grid.jpg,https://www.sephora.com/productimages/sku/s1928787-main-hero.jpg,https://www.sephora.com/productimages/sku/s1928787-main-Lhero.jpg,2018/03/10
CLINIQUE,"Acne Solutions Clinical Clearing Gel",4.1755,"$18.00 - $26.50",https://www.sephora.com/product/acne-solutions-clinical-clearing-gel-P385432,https://www.sephora.com/productimages/sku/s1592831-main-grid.jpg,https://www.sephora.com/productimages/sku/s1592831-main-hero.jpg,https://www.sephora.com/productimages/sku/s1592831-main-Lhero.jpg,2018/03/10
"Dr. Dennis Gross Skincare","Ferulic Acid + Retinol Brightening Solution",4.1174,"$88.00 - $125.00",https://www.sephora.com/product/ferulic-acid-retinol-brightening-solution-P375269,https://www.sephora.com/productimages/sku/s1450881-main-grid.jpg,https://www.sephora.com/productimages/sku/s1450881-main-hero.jpg,https://www.sephora.com/productimages/sku/s1450881-main-Lhero.jpg,2018/03/10
"La Mer","The Revitalizing Hydrating Serum",4.5,$195.00,https://www.sephora.com/product/the-revitalizing-hydrating-serum-P416725,https://www.sephora.com/productimages/sku/s1932284-main-grid.jpg,https://www.sephora.com/productimages/sku/s1932284-main-hero.jpg,https://www.sephora.com/productimages/sku/s1932284-main-Lhero.jpg,2018/03/10
Algenist,"Retinol Firming & Lifting Serum",4.3964,"$102.00 - $156.00",https://www.sephora.com/product/retinol-firming-lifting-serum-P379027,https://www.sephora.com/productimages/sku/s1521400-main-grid.jpg,https://www.sephora.com/productimages/sku/s1521400-main-hero.jpg,https://www.sephora.com/productimages/sku/s1521400-main-Lhero.jpg,2018/03/10
